"categories,"category_name"
"1998",".Net Programming"
"176","20th Century & Contemporary Classical Music"
"3291","20th Century & Contemporary Classical Music"
"2659","20th Century History: C 1900  To C 2000"
"2661","21st Century History: From C 2000 -"
"1992","2D Graphics: Games Programming"
"1943","3D Graphics & Modelling"
"1993","3D Graphics: Games Programming"
"2472","ABC"
"768","Abnormal Psychology"
"2023","Access"
"1379","Accident & Emergency Medicine"
"1422","Accident & Emergency Nursing"
"957","Accounting"
"1932","Accounting Software"
"963","Accounting: Study & Revision Guides"
"1856","Acoustic & Sound Engineering"
"391","Acquisitions & Collection Development"
"127","Acting Techniques"
"3091","Active Outdoor Pursuits"
"2461","Activity Books"
"1400","Addiction & Therapy"
"797","Admissions Procedures"
"3342","Admissions Procedures"
"2794","Adoption"
"725","Adoption & Fostering"
"359","Adult & Contemporary Romance"
"2631","Adult & Contemporary Romance"
"819","Adult Education, Continuous Learning"
"3364","Adult Education, Continuous Learning"
"2810","Adult Literacy Guides & Handbooks"
"2811","Adult Numeracy Guides & Handbooks"
"342","Adventure Books"
"2491","Adventure Books for Kids"
"3101","Adventure Holidays"
"1011","Advertising"
"642","Advertising & Society"
"1089","Advertising Industry"
"2804","Advice On Careers & Achieving Success"
"2809","Advice On Education"
"2797","Advice On Parenting"
"1111","Advocacy"
"91","Aerial Photography"
"1765","Aerodynamics"
"1063","Aerospace & Air Transport Industries"
"1852","Aerospace & Aviation Technology"
"2694","Afghan War"
"2648","African History"
"695","Age Groups"
"697","Age Groups: Adolescents"
"698","Age Groups: Adults"
"696","Age Groups: Children"
"699","Age Groups: The Elderly"
"3235","Agnosticism & Atheism"
"1878","Agricultural Engineering & Machinery"
"1215","Agricultural Law"
"1877","Agricultural Science"
"1876","Agriculture & Farming"
"1035","Agriculture & Related Industries"
"1887","Agronomy & Crop Production"
"731","Aid & Relief Programmes"
"899","Air Forces & Warfare"
"3023","Air Sports & Recreations"
"2977","Aircraft"
"2886","Alcoholic Beverages"
"1484","Algebra"
"1503","Algebraic Geometry"
"1506","Algebraic Topology"
"1985","Algorithms & Data Structures"
"1338","Allergies"
"1045","Alternative & Renewable Energy Industries"
"1791","Alternative & Renewable Energy Sources & Technology"
"3233","Alternative Belief Systems"
"2684","American Civil War"
"3044","American Football"
"2682","American War Of Independence"
"1641","Amphibians"
"1363","Anaesthetics"
"1502","Analytic Geometry"
"1507","Analytic Topology"
"753","Analytical & Jungian Psychology"
"1574","Analytical Chemistry"
"1544","Analytical Mechanics"
"2730","Analytical Philosophy & Logical Positivism"
"844","Anarchism"
"1307","Anatomy"
"3211","Ancient Egyptian Religion & Mythology"
"2653","Ancient History: To C 500 CE"
"3210","Ancient Religions & Mythologies"
"3142","Anglican & Episcopalian Churches, Church Of England"
"1632","Animal Behaviour"
"1883","Animal Breeding"
"1633","Animal Ecology"
"1882","Animal Husbandry"
"1216","Animal Law"
"1631","Animal Pathology & Diseases"
"1629","Animal Physiology"
"1630","Animal Reproduction"
"2500","Animal Stories"
"76","Animals & Nature In Art (still Life, Landscapes & Seascapes, Etc)"
"666","Animals & Society"
"140","Animated Films"
"3255","Animated Films"
"2485","Annuals"
"2484","Annuals, Anthologies & Poetry"
"2486","Anthologies"
"292","Anthologies (non-poetry)"
"718","Anthropology"
"2898","Antique Clocks, Watches, Musical Boxes & Automata"
"2900","Antique Furniture / Furniture Collecting"
"2893","Antiques & Collectables"
"2904","Antiques & Collectables: Books, Manuscripts, Ephemera & Printed Matter"
"2894","Antiques & Collectables: Buyer's Guides"
"2906","Antiques & Collectables: Carpets, Rugs & Textiles"
"2901","Antiques & Collectables: Ceramics & Glass"
"2903","Antiques & Collectables: Gold & Silver (other Than Jewellery)"
"2902","Antiques & Collectables: Jewellery"
"2905","Antiques & Collectables: Pictures, Prints & Maps"
"2908","Antiques & Collectables: Scientific & Musical Instruments"
"2907","Antiques & Collectables: Toys, Games & Models"
"1885","Apiculture (beekeeping)"
"1689","Applied Ecology"
"311","Applied Linguistics For ELT"
"1513","Applied Mathematics"
"1857","Applied Optics"
"1565","Applied Physics"
"1896","Aquaculture & Fish-farming: Practice & Techniques"
"1637","Arachnids"
"1155","Arbitration, Mediation & Alternative Dispute Resolution"
"2708","Archaeological Methodology & Techniques"
"2697","Archaeological Theory"
"2696","Archaeology"
"2698","Archaeology By Period / Region"
"3088","Archery"
"110","Architectural Structure & Design"
"107","Architecture"
"112","Architecture: Professional Practice"
"1669","Arid Zones, Deserts"
"1054","Armaments Industries"
"892","Armed Conflict"
"867","Arms Negotiation & Control"
"2833","Aromatherapy & Essential Oils"
"2509","Art"
"2554","Art & Design"
"2","Art & Photography"
"3","Art Books"
"7","Art Finance"
"42","Art Forms"
"8","Art History"
"15","Art History: Ancient & Classical BCE to c 500 CE"
"16","Art History: Byzantine & Medieval c 500 CE to c 1400"
"37","Art History: From c 1960"
"14","Art History: Pre-History"
"18","Art History: Renaissance"
"17","Art History: c 1400 to c 1600"
"20","Art History: c 1600 to c 1800"
"23","Art History: c 1800 to c 1900"
"29","Art History: c 1900 -"
"30","Art History: c 1900 to 1960"
"5","Art Resoration"
"80","Art Techniques & Principles"
"4","Art Theory"
"68","Art Treatments & Subjects"
"2063","Artificial Intelligence"
"2646","Asian History"
"3216","Aspects Of Religion (non-Christian)"
"2061","Assembly Languages"
"2570","Assembly Resource Material"
"2813","Assertiveness, Motivation & Self-esteem"
"2845","Astral Projection & Out-of-body Experiences"
"2822","Astrology"
"1863","Astronautics"
"1539","Astronomical Charts & Atlases"
"1535","Astronomical Observation: Observatories, Equipment & Methods"
"1533","Astronomy, Space & Time"
"1566","Astrophysics"
"1179","Asylum Law"
"2547","Athletics & Gymnastics (Children's/YA)"
"2595","Atlases"
"1569","Atmospheric Physics"
"1558","Atomic & Molecular Physics"
"2073","Audio Processing"
"1351","Audiology & Otology"
"2650","Australasian & Pacific History"
"3038","Australian Rules Football"
"219","Autobiography: Arts & Entertainment"
"217","Autobiography: Business & Industry"
"215","Autobiography: General"
"221","Autobiography: Historical, Political & Military"
"223","Autobiography: Literary"
"231","Autobiography: Religious & Spiritual"
"225","Autobiography: Royalty"
"229","Autobiography: Science, Technology & Engineering"
"227","Autobiography: Sport"
"1799","Automatic Control Engineering"
"390","Automation Of Library & Information Processes"
"1844","Automotive (motor Mechanic) Skills"
"1843","Automotive Technology & Trades"
"1166","Aviation Law"
"1058","Aviation Manufacturing Industry"
"1853","Aviation Skills / Piloting"
"2839","Ayurvedic Therapies"
"2458","Baby Books"
"2799","Baby Names"
"1614","Bacteriology (non-medical)"
"3024","Ball Games"
"151","Ballet"
"3266","Ballet"
"2513","Ballet & Dance"
"152","Ballroom Dancing"
"3267","Ballroom Dancing"
"968","Banking"
"976","Banking & Finance: Study & Revision Guides"
"1230","Banking Law"
"1231","Bankruptcy & Insolvency"
"3045","Baseball"
"3036","Basketball"
"2949","Batik & Tie-dye"
"2519","Battles"
"907","Battles & Campaigns"
"2888","Beers"
"942","Behavioural Economics"
"2756","Behavioural Economics"
"754","Behavioural Theory (Behaviourism)"
"2885","Beverages"
"3157","Bible Readings, Selections & Meditations"
"2533","Bible Stories"
"3156","Bible Studies: For Individual Or Small Group Study"
"3149","Bibles"
"2701","Biblical Archaeology"
"3153","Biblical Commentaries"
"3154","Biblical Concordances"
"3155","Biblical Exegesis & Hermeneutics"
"3152","Biblical Studies & Exegesis"
"392","Bibliographic & Subject Control"
"381","Bibliographies, Catalogues, Discographies"
"243","Bilingual & Multilingual Dictionaries"
"259","Bilingualism & Multilingualism"
"1596","Bio-ethics"
"1721","Biochemical Engineering"
"1607","Biochemical Immunology"
"1603","Biochemistry"
"1690","Biodiversity"
"1680","Biogeography"
"213","Biography"
"218","Biography: Arts & Entertainment"
"216","Biography: Business & Industry"
"214","Biography: General"
"220","Biography: Historical, Political & Military"
"222","Biography: Literary"
"230","Biography: Religious & Spiritual"
"224","Biography: Royalty"
"228","Biography: Science, Technology & Engineering"
"226","Biography: Sport"
"2578","Biology"
"1593","Biology, Life Sciences"
"1316","Biomechanics, Human Kinetics"
"1446","Biomedical Engineering"
"1570","Biophysics"
"1724","Biosensors"
"1722","Biotechnology"
"1053","Biotechnology Industries"
"1643","Birds (ornithology)"
"3003","Birds, Including Cage Birds, As Pets"
"1295","Birth Control, Contraception, Family Planning"
"692","Black & Asian Studies"
"3131","Blasphemy, Heresy, Apostasy"
"185","Blues"
"3300","Blues"
"3069","Boating"
"67","Body Art & Tattooing"
"3079","Bodybuilding"
"2934","Bonsai"
"2960","Book & Paper Crafts"
"77","Botanical Art"
"1622","Botany & Plant Sciences"
"3047","Bowls, Bowling, Petanque"
"3075","Boxing"
"182","Brass Band, Military Music & Marches"
"3297","Brass Band, Military Music & Marches"
"1816","Bridges"
"2645","British & Irish History"
"3181","Buddhist Books"
"3182","Buddhist Worship, Rites & Ceremonies"
"995","Budgeting & Financial Management"
"1823","Building Construction & Materials"
"1828","Building Skills & Trades"
"2535","Buildings"
"2599","Bullying & Abuse"
"793","Bullying & Anti-bullying Strategies"
"3338","Bullying & Anti-bullying Strategies"
"1381","Burns"
"2970","Buses, Trams & Commercial"
"977","Business & Management"
"979","Business & Management: Study & Revision Guides"
"1917","Business Applications"
"1005","Business Communication & Presentation"
"983","Business Competition"
"984","Business Ethics"
"981","Business Innovation"
"1006","Business Mathematics & Systems"
"1004","Business Negotiation"
"980","Business Strategy"
"2585","Business Studies"
"978","Business Studies: General"
"3102","Business Travel"
"928","Business, Finance & Law"
"2883","Cakes, Baking, Icing & Sugarcraft"
"1489","Calculus"
"1488","Calculus & Mathematical Analysis"
"1495","Calculus Of Variations"
"3144","Calvinist, Reformed & Presbyterian Churches"
"3096","Camping & Woodcraft"
"3072","Canoeing & Kayaking"
"1232","Capital Markets & Securities Law & Regulation"
"3059","Car Racing"
"3106","Caravan & Camp-site Guides"
"1605","Carbohydrates"
