,isbn10,authors,title,category_id,lang,year,rating-avg,category_name
844,141036141,[1],1984,335,en,2008,4.18,Classic Books & Novels
845,802130127,[23],The 120 Days of Sodom and Other Writings,335,en,1994,3.46,Classic Books & Novels
846,99629607,[23],The 120 Days Of Sodom : And Other Writings,335,en,1995,3.11,Classic Books & Novels
847,751503843,"[506, 507]",84 Charing Cross Road,335,en,1982,4.2,Classic Books & Novels
848,1641813911,[731],"Clarissa Harlowe : Or, The History of a Young Lady; Volume 1 of 9",335,en,2020,,Classic Books & Novels
849,1641813997,[732],Nightmare Abbey,335,en,2020,3.49,Classic Books & Novels
850,164181599X,[747],The Mayor of Casterbridge : The Life and Death of a Man of Character,335,en,2020,,Classic Books & Novels
851,164181604X,[824],Justified Sinner : The Private Memoirs and Confessions of a Justified Sinner,335,en,2020,,Classic Books & Novels
852,074860569X,"[1460, 1461]",Rob Roy,335,en,2009,3.69,Classic Books & Novels
853,1774411482,[1650],A Doll's House,335,en,2020,,Classic Books & Novels
854,192547054,"[2010, 2011]",Northanger Abbey and Persuasion,335,en,1988,3.99,Classic Books & Novels
855,9780786271788,[2408],Johnny Tremain,335,en,2005,3.64,Classic Books & Novels
856,1860498507,"[506, 507]",84 Charing Cross Road,335,en,2002,4.2,Classic Books & Novels
857,822208180,[4166],The Life and Adventures of Nicholas Nickleby,335,en,2002,2.75,Classic Books & Novels
858,1514390566,[1650],Pillars of Society,335,en,2015,3.76,Classic Books & Novels
859,1528705513,[1330],The Importance of Being Earnest,335,en,2018,4.17,Classic Books & Novels
860,808509578,"[4664, 4665, 4666, 4667, 4668]",Inferno,335,en,1999,4.0,Classic Books & Novels
861,1849430209,"[5780, 5781]",The Good Soldier,335,en,2011,3.0,Classic Books & Novels
862,8491052372,[6053],La Guerra de Los Mundos / The War of the Worlds,335,es,2016,3.82,Classic Books & Novels
863,8499890946,[1],1984 (in Spanish),335,es,2013,4.18,Classic Books & Novels
864,1783190612,"[1, 6455]",1 1984 : The play,335,en,2014,4.32,Classic Books & Novels
865,198641745,[6980],"10, 000 French Words",335,en,1991,3.66,Classic Books & Novels
866,1424005558,[6174],The Hunchback of Notre Dame : Heinle Reading Library,335,en,2006,3.99,Classic Books & Novels
867,1530436605,[7121],Utopia,335,es,2016,3.53,Classic Books & Novels
868,1500114952,[7438],Du cote de chez Swann,335,fr,2014,4.14,Classic Books & Novels
869,190681452X,"[7470, 7487]","20,000 Leagues Under the Sea",335,en,2015,4.03,Classic Books & Novels
870,1985817519,[7918],Myths and Marvels of Astronomy,335,en,2018,3.65,Classic Books & Novels
871,849280307X,"[1330, 8822]",The Canterville Ghost : English & Spanish Parallel Text,335,en,2013,,Classic Books & Novels
